eng,dzo
I explained why we had to do it.,ཁོ་གིས་འདི་ག་ཅི་སྦེ་འབད་དགོཔ་ཨིན་ན་ང་གིས་འགྲེལ་བཤད་རྐྱབ་ཅི།
I fail to see what's so amusing.,ང་གིས་ག་ཅི་གནམ་མེད་ས་མེད་སྤྲོ་ཉམས་ཅན་འདི་ལྟ་ནི་འཐུས་ཤོར་ཡི།
I feel a lot better than before.,ང་ཧེ་མ་ལས་ལེ་ཤ་གི་ལེགས་ཤོམ་ཚོར་ཡི།
I feel a whole lot better today.,ང་གིས་ད་རིས་སྤྱི་བཏང་ག་ར་ལེགས་ཤོམ་ཡོདཔ་སྦེ་ཚོར་ཡི།
I feel great and I feel healthy.,ང་ལེགས་ཤོམ་གྱི་ཚོར་བ་དང་ང་བདེ་ཏོག་ཏོ་ཚོར་ཡི།
I feel hungry after a long walk.,རྐང་འགྲུལ་རིངམོ་གི་ཤུལ་ལས་ང་ལྟེ་དཀྱེསཔ་ཚོར་ཡི།
I feel like I let the team down.,ང་གིས་སྡེ་ཚན་འདི་མར་འབབ་བཅུག་བཟུམ་ཚོར་ཡི།
I feel like I'm making progress.,ང་ར་ཡར་རྒྱས་བཟོ་བའི་ཚོར་བ་བཟུམ་ང་ལུ་འབྱུང་མས།
I feel like I'm wasting my time.,ང་གིས་ངེ་གི་དུས་ཚོད་འདི་འཕྲོ་བརླག་གཏང་དོ་བཟུམ་ཚོར་མས།
I feel like going to the movies.,ང་གློག་བརྙན་ལྟ་བར་འགྱོ་དགོ་མནོ་བའི་ཚོར་བ་ཅིག་འབྱུང་ཡི།
I feel like having an ice cream.,ང་འཁྱེག་ཟས་ཟ་དགོ་མནོ་བའི་ཚོར་བ་ཅིག་འབྱུང་ཡི།
I feel like singing in the rain.,ང་ཆར་པའི་ནང་ཞབས་ཁྲ་ཐོན་དགོ་མནོ་བའི་ཚོར་བ་ཅིག་འོང་ཡི།
I feel really strongly about it.,ང་འདི་གི་སྐོར་ལས་གནམ་མེད་ས་མེད་སྒྲིང་སྒྲིང་ཚོརཝ་མས།
I feel there is just no way out.,ང་གི་འདི་ཁར་ཐབས་ལམ་གཞན་མེདཔ་ཚོར་མས།
I feel very strongly about that.,ང་གིས་འདི་གི་སྐོར་ལས་གནམ་མེད་ས་མེད་སྒྲིང་སྒྲིང་ཚོར་མས།
I feel very strongly about that.,ང་གིས་འདི་གི་སྐོར་ལས་གནམ་མེད་ས་མེད་སྒྲིང་སྒྲིང་ཚོར་མས།
I feel way more comfortable now.,ང་ལམ་འདི་དང་ད་བདེ་ཏོག་ཏོ་མངམ་ཚོར་མས།
I felt a sudden pain in my side.,ང་གི་ཟུར་ཁར་གློ་བུར་ན་ཟུག་ཅིག་འབྱུང་ཡི།
I felt my heart beating rapidly.,ང་ངེ་གི་དོན་ཧིང་སྤར་མགྱོགས་དྲག་སྦེ་ཚོར་ཡི།
I felt that something was amiss.,ང་གི་ག་ཅི་ཅིག་འདི་ཕྱི་འགྱུར་སྦེ་ཚོར་ཡི།
I figured I might find you here.,ང་གི་ཡང་ཅིན་ཁྱོད་འདི་ནང་མཐོང་འོང་ཟེར་ང་གི་མནོ་ཡི།
I figured that you'd understand.,ང་གིས་ཁྱོད་ཀྱི་ཧ་གོ་འོང་ཟེར་ཤར་ཡི།
I filled up the vase with water.,ང་གིས་བུམ་པ་འདི་ཆུ་གི་བཀང་ཡི།
I first met him three years ago.,ང་གིས་ཁོ་འགོ་དང་པ་ལོ་གསུམ་གྱི་ཧེ་མ་ཕྱད་ཅི།
I fixed myself something to eat.,ང་ག་ཅི་ཅིག་ཟ་ནི་གི་དོན་ལུ་ང་ར་གིས་བརྟན་པོ་བཟོ་ཡི།
I forgot my credit card at home.,ང་གི་ངེ་གི་དངུལ་བྱང་ཁྱིམ་ནང་བརྗེད་སོང་ནུག།
I forgot to buy a birthday cake.,ང་གིས་སྐྱེ་བའི་ཉིནམ་གྱི་མངར་ཟས་ཉོ་ནི་བརྗེད་སོང་ནུག།
I forgot to telephone him today.,ང་གིས་ཁོ་ལུ་ད་རིས་བརྒྱུད་འཕྲིན་གཏང་ནི་བརྗེད་སོང་ནུག།
I forgot you don't like carrots.,ཁྱོད་ཀྱིས་ལ་ཕུ་དམརཔ་མི་དགའ་ཟེར་ང་གི་བརྗེད་སོང་ནུག།
I found the man I want to marry.,ང་ར་གཉེན་རྐྱབ་དགོ་མནོ་མི་ཕོ་རྒས་འདི་ང་གིས་ཐོབ་ཅི།
I found the person who did that.,ང་གིས་དེ་འབད་མི་མི་འདི་འཚོལ་ཐོབ་ཅི།
I found the subject fascinating.,ང་གིས་ཆོས་ཚན་འདི་སེམས་ཤོར་སི་སི་མཐོང་ཡི།
I found this column interesting.,ང་གིས་བཅད་ཐིག་འདི་སྤྲོ་བ་ཅན་མཐོང་ཡི།
I gave her just what she needed.,ང་གིས་མོ་ལུ་མོ་ར་ག་དེ་ཅི་དགོཔ་ཙམ་ཅིག་བྱིན་ཡི།
I get asked that question a lot.,ང་ལུ་དྲི་བ་ལེ་ཤ་དྲིས་མི་ཐོབ་ཨིན།
I get chapped lips every winter.,ང་དགུན་ཨ་རྟག་ར་མཆུ་བསིལ་གགཔ་ཐོབ་ཨིན།
I get up at seven every morning.,ང་དྲོ་པ་ཨ་རྟག་ར་ཆུ་ཚོད་བདུན་ལུ་ལོངམ་ཨིན།
I go for a walk every other day.,ང་ཉིནམ་གཞན་ཨ་རྟག་ར་རྐང་འགྲུལ་འབད་བར་འགྱོཝ་ཨིན།
I go to sleep at about midnight.,ང་ནུབ་ཕྱེད་སྐོར་ཆ་ནང་ཉལ་བར་འགྱོཝ་ཨིན།
I go to the barber once a month.,ང་ཟླཝ་རེ་ནང་ཚར་རེ་སྐྱ་བཏོག་མི་འབད་ས་འགྱོཝ་ཨིན།
I go to work every day by train.,ང་ལཱ་འབད་བར་ཉིནམ་ཨ་རྟག་ར་རེལ་ལི་ནང་འགྱོཝ་ཨིན།
I got a nasty sting from a wasp.,ང་བྱིང་གུམ་ལས་མདུང་རྩུབ་དྲགས་ཅིག་ཐོབ་ཅི།
I got here a little early today.,ང་ད་རིས་འདི་ནང་ཨ་ཙི་ཧ་སག་ལྷོད་ཅི།
I got my son to repair the door.,ང་ལུ་སྒོ་ཉམས་བཅོས་འབད་ནི་ལུ་ངེ་གི་བུ་ཡོད།
I got terrible grades this term.,ང་ད་རིས་ཀྱི་སློབ་དུས་ནང་གནས་རིམ་རྔམ་སི་སི་ཐོབ་ཅི།
I got up to go and look outside.,ང་ཡར་འགྱོ་ཞིནམ་ལས་ཕྱི་ཁར་ལྟ་དགོཔ་ཡོད།
I got up very late this morning.,ང་དིས་དྲོ་པ་གནམ་མེད་ས་མེད་འཕྱིས་སུ་ཅིག་སྦེ་ལོང་ཡི།
I grabbed the dog by its collar.,ང་གིས་རོ་ཁྱི་འདི་དེ་གི་ལྟག་སྐོར་ལས་བཟུང་ཡི།
I grow orchids in my greenhouse.,ངེ་གི་སྔོ་ཁྱིམ་ནང་ང་གིས་ཨོ་ལ་ཚལ་སྐྱེཝ་ཨིན།
I guess I could use some advice.,ང་གི་བསླབ་བྱ་དག་པ་ཅིག་ལག་ལེན་འཐབ་ནི་ཚོད་དཔག་ཡོད།
I guess I could use the company.,ང་གིས་ལས་སྡེ་འདི་ལག་ལེན་འཐབ་ཚུགས་ནི་གི་ཚོད་དཔག་ཡོད།
I guess I just got carried away.,ང་འདི་གི་འབག་འགྱོ་ཙམ་ཡོད་པའི་ཕོ་ཚོད་ཡོད།
I guess I'll find out next week.,ང་གི་ཤུལ་མའི་བདུན་ཕྲག་ནང་འཚོལ་ཐོབ་ནི་གི་ཕོ་ཚོད་ཡོད།
I guess that doesn't concern me.,དེ་གི་ང་ལུ་ཚ་གྱང་མི་བཅུག་པའི་ཕོ་ཚོད་ཡོད།
I guess that doesn't make sense.,དེ་གི་དོན་ག་ནི་ཡང་མི་བའི་ཕོ་ཚོད་ཡོད།
I guess that she is over thirty.,ང་གིས་མོ་ར་ལོ་སུམ་ཅུ་ལྷག་ཡོད་པའི་ཕོ་ཚོད་ཨིན།
I guess that would be all right.,ང་གིས་དེ་ཚུ་ག་ར་བདེན་འོང་ཟེར་བའི་ཕོ་ཚོད་ཡོད།
I guess we could try doing that.,ང་གིས་ང་བཅས་ཀྱིས་འདི་འབད་ནི་དཔའ་བཅམ་ཚུགས་པའི་ཕོ་ཚོད་ཡོད།
I guess we were happy back then.,ང་གིས་ང་བཅས་ག་ར་ལོག་དགའ་ཏོག་ཏོ་ཡོདཔ་ཕོ་ཚོད་ཁར་བཀལ་ཡི།
I guess we're both going to die.,ང་བཅས་གཉིས་ཆ་ར་ཤི་ནི་ཨིནམ་ང་གི་ཕོ་ཚོད་བཀལ་ཡི།
I guess you must be very hungry.,ཁྱོད་གནམ་མེད་ས་མེད་སེམས་དགའ་དགོཔ་ ང་གི་ཕོ་ཚོད་ཡོད།
I guess you're right about that.,ཁྱོད་འདི་གི་སྐོར་ལས་བདེན་པ་ཡོདཔ་ང་གི་ཕོ་ཚོད་བཀལ་ཡི།
I had a chance to travel abroad.,ང་ཕྱི་རྒྱལ་ལུ་འགྱོ་ནི་གི་གོ་སྐབས་ཅིག་ཐོབ་ཅི།
I had a hunch you would do that.,ཁྱོད་ཀྱིས་དེ་འབད་འོང་ཟེར་ང་ལུ་ཕོག་ཚོད་ཡོད།
I had a job when I was your age.,ང་ཁྱོད་ཀྱི་ལོ་ཚད་ནང་ང་ལུ་ལཱ་གཡོག་སྡོད་ཡི།
I had a lot of fun last weekend.,མཇུག་གི་གཟའ་ཉིམ་དང་ཟླཝ་ལུ་ང་ལུ་སྤྲོ་བ་ལེ་ཤ་འབྱུང་ཡི།
I had a problem to take care of.,ང་ལུ་བདག་འཛིན་འབད་ནི་གི་དཀའ་ངལ་ཅིག་ཡོད།
I had a son who died in the war.,ང་ལུ་དམག་ནང་གྱོང་མི་བུ་གཅིག་སྡོད་ཡི།
I had a very good day yesterday.,ང་ལུ་ཁ་ཙ་གྱི་ཉིནམ་འདི་གནམ་མེད་ས་མེད་ལེགས་ཤོམ་སྡོད་ཡི།
I had an out-of-body experience.,ང་ལུ་གཟུགས་ཕྱི་ཁའི་ཉམས་མྱོང་ཅིག་ཐོབ་ཅི།
I had bought it the week before.,ང་གིས་འདི་བདུན་ཕྲག་ཧེ་མའི་ནང་ཉོ་ཡི།
I had doubts from the beginning.,ང་ལུ་དོགས་པ་འདི་འགོ་བཙུགས་པའི་བསྒང་ལས་ར་ཡོད།
I had issues I had to deal with.,ང་གིས་སྒྲིག་ཆ་འབད་དགོ་པའི་གནད་དོན་ཚུ་ཡོད།
I had my doubts from the get-go.,ང་ལུ་ཐོབ་འགྱོ་ལས་ར་དོགས་པ་ཚུ་ཡོད།
I had my watch stolen yesterday.,ང་གིས་ཆུ་ཚོད་འཁོར་ལོ་འདི་ཁ་ཙ་ཨརཝ་ལུ་ཤོར་ཡི།
I had no friends except for Karma.,ང་ལུ་ཆ་རོགས་ཀརྨ་མ་གཏོགས་མེད།
I had no idea Karma would do that.,ཀརྨ་གིས་འདི་འབད་འོང་ཟེར་ང་ལུ་མནོ་བསམ་ར་མེད།
I had no idea you felt that way.,ཁྱོད་ཀྱིས་དེ་སྦེ་ཚོར་མི་ལུ་ང་ལུ་གནས་སྐབས་མེད།
I had no idea you were involved.,ཁྱོད་གྲལ་ཁར་ཡོདཔ་ང་ལུ་མནོ་བསམ་ར་མ་སྡོད།
I had no idea you were so young.,ཁྱོད་གནམ་མེད་ས་མེད་གཞོནམ་ཨིནམ་ང་ལུ་བསམ་བློ་ར་མེད།
I had something else on my mind.,ང་གི་མནོ་བསམ་ལུ་གཞན་ག་ཅི་ཅིག་སྡོད་ཡི།
I had to choose between A and B.,ང་གིས་ཀ་དང་ཁ་ལས་གདམ་ཁ་རྐྱབ་དགོཔ་འབྱུང་ཡི།
I had to see a doctor yesterday.,ང་ཁ་ཙ་དྲུང་འཚོ་ཕྱད་དགོཔ་འབྱུང་ཡི།
I had to wait for Karma to finish.,ཀརྨ་ཚར་ནི་དོན་ལུ་ང་སྒུག་དགོཔ་ཐོན་ཡི།
I hadn't thought of it that way.,ང་གིས་དེའི་ཕྱོགས་བཟུམ་མནོ་བསམ་མ་གཏང་།
I hate being alone at Christmas.,ཡེ་ཤུའི་འཁྲུངས་སྟོན་ནང་ང་ར་རྐྱངམ་ཅིག་
I hate doing this kind of stuff.,ང་གིས་ཅ་ལ་འདི་བཟུམ་གྱི་རིགས་མི་དགའ་བས།
I hate it when my parents fight.,ང་གིས་ངེ་གི་ཕམ་ཚུ་འཐབ་པའི་སྐབས་མི་དགའ་བས།
I hate that you have to be here.,ཁྱོད་ན་སྡོད་དགོཔ་ཨིན་མི་ལུ་ང་མི་དགའ་བས།
I hate the color of these walls.,ང་གི་གྱང་འདི་ཚུ་གི་ཚོས་གཞི་ཚུ་མི་དགའ་བས།
I have a bad feeling about this.,ང་ལུ་འདི་གི་སྐོར་ལས་ཚོར་བ་ངན་པ་ཅིག་ཡོད།
I have a few gray hairs already.,ང་ལུ་ཧེ་མ་ལས་སྐྱ་དཀརཔོ་དག་པ་ཅིག་ཡོད།
I have a great deal to do today.,ད་རིས་ང་ལུ་སྒྲིག་ཆ་འབད་དགོཔ་སྦོམ་ཅིག་ཡོད།
I have a lot in common with him.,ང་ལུ་ཁོ་དང་གཅིག་ཁར་སྤྱི་མཐུན་ལེ་ཤ་ཡོད།
I have a lot to do this morning.,ང་ལུ་ད་རིས་དྲོ་པ་འབད་དགོ་ལེ་ཤ་ར་ཡོད།
I have a picture of the airport.,ང་ལུ་གནམ་གྲུ་ཐང་གི་པར་གཅིག་ཡོད།
I have a rough idea where it is.,ང་ལུ་གནས་སྐབས་རགས་པ་གཅིག་ག་ཏེ་ཨིན་ན།
I have a sharp pain in my chest.,ང་ལུ་ངེ་གི་བྱང་ཁོག་ནང་ན་ཟུག་ཤུགས་ཅན་ཅིག་ཡོད།
I have a slight pain in my side.,ང་ལུ་ངེ་གི་ཟུར་ཁ་ན་ཟུག་དུམ་གྲ་ཅིག་ཡོད།
I have a twitch in my right eye.,ང་ལུ་ངེ་གི་མིག་ཏོ་གཡས་པ་ལུ་རྩ་འགུལ་ཅིག་ཡོད།
I have a very pretty girlfriend.,ང་ལུ་ཨ་རོགས་དགའ་རོགས་འཇའ་རིསམོ་ཅིག་ཡོད།
I have a week to do my homework.,ང་ལུ་ངེ་གི་ཁྱིམ་ལཱ་འབད་ནི་གི་བདུན་ཕྲག་ཅིག་ཡོད།
I have absolutely nothing to do.,ང་ལུ་རྩ་ལས་ར་འབད་དགོཔ་ག་ནི་ཡང་མེད།
I have already done my homework.,ང་གིས་ངེ་གི་ཁྱིམ་ལཱ་འདི་ཧེ་མ་ལས་འབད་ཡི།
I have already finished the job.,ང་གིས་ལཱ་གཡོག་འདི་ཧེ་མ་ལས་ར་རྫོགས་སོང་ཡི།
I have already written a letter.,ང་གིས་ཡི་གུ་འདི་ཧེ་མ་ལས་བྲིས་ཚར་ཡི།
I have as many books as he does.,ང་ལུ་ཁོ་ལུ་ཡོད་དོ་བཟུམ་མའི་དཔེ་དེབ་ལེ་ཤ་ར་ཡོད།
I have bruises all over my body.,ང་ལུ་ངེ་གི་གཟུགས་ག་ར་གུར་རྨ་ཡོད།
I have difficulty concentrating.,ང་ལུ་དྲན་པ་བཏོན་ནི་ནང་དཀའ་ངལ་ཡོད།
I have eaten a lot this morning.,ང་གི་ད་རིས་དྲོ་པ་ལེ་ཟ་ཡི།
I have enclosed your order form.,ང་གིས་ཁྱོད་རའི་བཀའ་རྒྱ་ནང་ན་བཙུགས་ཏེ་ཡོད།
I have enough money to buy this.,འདི་ཉོ་ནི་གི་དོན་ལུ་ང་ལུ་དངུལ་ལངམ་སྦེ་ཡོད།
I have everything under control.,ང་གིས་ག་ར་དམ་འཛིན་འོག་ལུ་ཡོད།
I have finally reached my limit.,ང་གིས་མཐའ་མཇུག་ལུ་ངེ་གི་མཚམས་ཚོད་ལུ་ལྷོད་ཅི།
I have hardly any English books.,ང་ལུ་ཨིང་ལིཤ་གི་དཔེ་དེབ་དཀོན་དྲག་ཅིག་ཡོད།
I have hardly any money with me.,ང་ལུ་ང་དང་གཅིག་ཁར་དངུལ་ཀྲམ་དཀོན་དྲག་སྦེ་ཡོད།
I have known her for five years.,ང་གིས་མོ་ལོ་ལྔའི་རིན་ངོ་ཤེས་ཏེ་ཡོད།
I have lots of Canadian friends.,ང་ལུ་ཀེ་ན་ཌཱན་གྱི་ཆ་རོགས་ལེ་ཤ་ཡོད།
I have more experience than Karma.,ང་ལུ་ཀརྨ་ལས་ལྷག་པའི་ཉམས་མྱོང་ཡོད།
I have never heard him complain.,ཁོ་གིས་ཉོགས་བཤད་བཀོད་མི་ང་གིས་མ་གོ།
I have no friends supporting me.,ང་ལུ་གྲོགས་རམ་འབད་མི་ཆ་རོགས་ཚུ་མེད།
I have no intention of changing.,ང་ལུ་སྒྱུར་བཅོས་འབད་ནི་གི་མནོ་བསམ་མེད།
I have no one to say goodbye to.,ང་ལུ་ཁ་བྲལ་ལེགས་སྨོན་འབད་མི་ག་ཡང་མེད།
I have no proof to the contrary.,མ་འདྲ་མི་འདི་ལུ་ང་གིས་བདེན་ཁུངས་མེད།
I have nothing more to do today.,ད་རིས་ང་ལུ་མངམ་འབད་དགོཔ་ག་ནི་ཡང་མེད།
I have nothing particular to do.,ང་ལུ་འབད་དགོཔ་དམིགས་བསལ་ག་ནི་ཡང་མེད།
I have nothing to report so far.,ང་ལུ་ད་ལྟོ་ཚུན་སྙན་ཞུ་འབད་ནི་ག་ནི་ཡང་མེད།
I have nothing to say right now.,ང་གིས་ད་ལྟོ་སླབ་ནི་ག་ནི་ཡང་མེད།
I have some stuff to do at home.,ང་ལུ་ཁྱིམ་ནང་རྒྱུ་ཆས་འབད་དགོཔ་དག་པ་ཅིག་ཡོད།
I have to be back home by seven.,ང་ར་ཆུ་ཚོད་བདུན་ལས་ཁྱིམ་ནང་ལོག་དགོཔ་ཨིན།
I have to buy something for Karma.,ང་ཀརྨ་གི་དོན་ལུ་ག་ཅི་ཅིག་ཉོ་དགོཔ་ཡོད།
I have to finish what I started.,ང་གིས་ག་ཅི་འགོ་བཙུགས་མི་འདི་ ང་ར་གིས་མཇུག་བསྡུ་དགོ།
I have to get my watch repaired.,ང་གི་ཆུ་ཚོད་འཁོར་ལོ་འདི་བཅོ་ཁ་རྐྱབ་དགོཔ་ཡོད།
I have to get up early Karmaorrow.,ང་ནངས་པ་དྲོ་པ་ཧ་སག་ལོང་དགོཔ་ཡོད།
I have to go back to the office.,ང་ལོག་ཡིག་ཚང་ནང་འགྱོ་དགོཔ་ཨིན།
I have to go to Boston with Karma.,ང་བོས་ཊན་ལུ་ཀརྨ་དང་གཅིག་ཁར་འགྱོ་དགོ་པས།
I have to go. It's getting late.,ང་འགྱོ་དགོ་པས་ ད་འཕྱིས་ནི་འབད་དོ།
I haven't always been a teacher.,ང་ཨ་རྟག་ར་སློབ་དཔོན་སྦེ་མ་སྡོད།
I haven't been feeling so great.,ང་ཚོར་བ་ལེགས་ཤོམ་ཅིག་མ་འབྱུང་།
I haven't done this for a while.,ཡུད་ཙམ་ལུ་ང་གིས་འདི་མ་འབད།
I haven't finished that job yet.,ང་གི་ལཱ་གཡོག་འདི་ད་ལྟོ་ཡང་མ་རྫོགས་པ་ཡོད།
"I haven't got all day, you know.",ང་ལུ་ཉིནམ་གཅིག་ག་ར་མེད་ ཁྱོད་ཀྱིས་ཤེས།
I haven't gotten used to it yet.,ང་འདི་ལུ་ཉམས་མྱོང་ཅིག་མ་ཐོབ་པར་ཡོད།
I haven't met Karma's parents yet.,ང་གིས་ཀརྨ་གི་ཕམ་ཚུ་མ་ཕྱད་པར་ཡོད།
I haven't met with Karma recently.,ང་གི་འཕྲལ་ཁམས་ཅིག་ཀརྨ་དང་གཅིག་ཁར་མ་ཕྱད།
I haven't read any of his books.,ང་གིས་ཁོ་གི་དཔེ་དེབ་ཚུ་ག་ནི་ཡང་མ་ལྷག།
I haven't seen Karma since Monday.,ང་གིས་ཀརྨ་འདི་གཟའ་མིག་དམར་ལས་ར་མ་མཐོང་།
I haven't seen any of his films.,ང་གིས་ཁོ་གི་གློག་བརྙན་ཅིག་ཡང་མ་མཐོང་།
I haven't thought much about it.,ང་འདི་གི་སྐོར་ལས་མནོ་བསམ་ལེ་ཤ་མ་གཏང་།
I haven't yet met Karma's parents.,ད་ཚུན་ང་གི་ཀརྨ་གི་ཕམ་ཚུ་མ་ཕྱད་པར་ཡོད།
I hear that Mary is very pretty.,ང་གིས་མེ་རི་འདི་གནམ་མེད་ས་མེད་འཇའ་རིསམོ་ཨིན་ཟེར་གོ་མས།
"I hear you, but I don't see you.",ང་གིས་ཁྱོད་གོ་མས་ དེ་འབདཝ་ད་ང་གིས་ཁྱོད་མི་མཐོང་པས།
I heard her singing in her room.,ང་གིས་མོ་ མོ་རའི་ཁང་མིག་ནང་ཞབས་ཁྲ་འཐེན་ས་གོ་ཡི།
I heard someone calling my name.,ང་གིས་མི་ཅིག་ངེ་གི་མིང་འབོ་ས་གོ་ཡི།
I heard the front doorbell ring.,ང་གི་གདོང་ཕྱོགས་སྒོའི་གི་དྲིལ་བུ་བརྡུང་ས་གོ་ཡི།
I heard the song sung in French.,ང་གི་ཞབས་ཁྲ་འདི་ཕེརེནཆི་ནང་འཐེན་ས་གོ་ཡི།
I heard voices through the wall.,ང་གི་གྱང་བརྒྱུད་དེ་སྒྲ་གོ་ཡི།
I heard what happened at school.,སློབ་གྲྭ་ནང་ག་ཅི་འབད་ཡི་ག་ ང་གིས་གོ་ཡི།
I heard you paid a visit to Karma.,ཁྱོད་ཀརྨ་འབད་ས་འགྱོ་ཡོདཔ་ང་གིས་གོ་ཡི།
I helped Karma escape from prison.,ང་གིས་ཀརྨ་བཙོན་ཁང་ལས་ཐོན་འགྱོ་ནི་ཆ་རོགས་འབད་ཡི།
I hope everybody is on our side.,མི་ག་ར་ང་བཅས་རའི་ཆ་རོགས་འོང་མནོ་བའི་རེ་བ་ཡོད།
I hope he won't be disappointed.,ང་གིས་ ཁོ་བློ་མི་ཕམ་འོག་མནོ་བའི་རེ་བ་ཡོད།
I hope it doesn't snow Karmaorrow.,ང་ནངས་པ་ཁཝ་མི་རྐྱབ་འོང་མནོ་བའི་རེ་བ་ཡོད།
I hope next year will be better.,གསང་ཕོད་ལོ་འདི་ང་ལུ་ལེགས་ཤོམ་འོང་མོན་བའི་རེ་བ་ཡོད།
I hope our luck doesn't run out.,ང་བཅས་རའི་ཁ་རྗེ་འདི་མི་རྫོགས་འོང་མནོ་བའི་རེ་བ་ང་ལུ་ཡོད།
I hope that it is fine Karmaorrow.,ནངས་པ་འདི་ལེགས་ཤོམ་འོང་མནོ་བའི་རེ་བ་ང་ལུ་ཡོད།
I hope that that isn't the case.,གནད་དོན་དེ་མེདཔ་འོང་ཟེར་ང་རའི་རེ་བ་ཡོད།
I hope the weather will be good.,གནམ་གཤིས་འདི་ལེགས་ཤོམ་འོང་བའི་རེ་བ་ཡོད།
I hope this is resolved quickly.,ང་ལུ་འདི་མགྱོགས་པར་དཀའ་ངལ་བསལ་ཚུགས་པའི་རེ་བ་ཡོད།
I hope to see you again someday.,ཉིནམ་གཅིག་ནང་ང་གི་ཁྱོད་ལོག་མཐོང་བའི་རེ་བ་ཡོད།
I hope you feel better Karmaorrow.,ཁྱོད་ནངས་པ་ལེགས་ཤོམ་སྦེ་ཚར་བའི་ང་ལས་རེ་བ་ཡོད།
I hope you stop telling me lies.,ཁྱོད་ཀྱིས་ང་ལུ་ཤོབ་སླབ་ནི་བཀག་འོང་མནོ་བའི་རེ་བ་ཡོད།
I hope your wish will come true.,ཁྱོད་རའི་རེ་འདོད་འདི་བདེན་པ་སྦེ་འོང་བའི་རེ་བ་ཡོད།
I introduced Mary to my parents.,ང་གིས་མེ་རི་ངེ་གི་ཕམ་ཚུ་ལུ་ངོ་སྤྲོད་འབད་ཡི།
I just can't help you right now.,ང་གིས་ཁྱོད་ལུ་ད་ལྟོ་ཆ་རོགས་འབད་མི་ཚུགས་པས།
I just can't help you this time.,ང་གིས་ཁྱོད་ལུ་ད་ལྟོའི་དུས་ཚོད་འདི་ཁར་ཆ་རོགས་འབད་མི་ཚུགས་པས།
I just can't wait to go to work.,ང་གིས་ལཱ་འབད་བར་འགྱོ་ནི་ལུ་སྒུག་མི་ཚུགས་པས།
I just couldn't let that happen.,ང་གིས་འདི་ཙམ་འབྱུང་བཅུག་མ་ཚུགས།
I just couldn't take it anymore.,ང་གིས་འདི་དེ་ལས་ལྷག་སྟེ་ལེན་མ་ཚུགས།
I just didn't want to upset you.,ང་གིས་ཁྱོད་མ་དགའཝ་བཟོ་བཅུག་དགོ་མནོཝ་མེད།
I just didn't want you to worry.,ང་གིས་ཁྱོད་ཚ་གྱང་ཙམ་ལང་བཅུག་དགོ་མནོཝ་མེད།
I just don't have what it takes.,ང་ལུ་འདི་གི་ག་ཅི་ལེན་མི་འདི་ཙམ་མེད།
I just don't want to believe it.,ང་གིས་འདི་ཙམ་ཡིད་ཆེས་བསྐྱེད་དགོ་མི་མནོ་བས།
I just feel a little inadequate.,ང་ཨ་ཙི་མ་ལངམ་ཙམ་ཅིག་ཚོར་མས།
I just figured out how to do it.,ང་གི་འདི་ག་དེ་སྦེ་འབད་ནི་ཨིན་ན་ཙམ་ཕྱི་གསལ་འབད་ཡི།
I just got back three hours ago.,ང་གི་ཆུ་ཚོད་གསུམ་ཙམ་གྱི་ཧེ་མ་ལོག་ཐོབ་ཅི།
I just got bitten by a mosquito.,ང་གཟན་དོམ་གྱིས་སོ་བཏབ་ཅི།
I just got here a few hours ago.,ང་འདི་ནང་ཆུ་ཚོད་དག་པ་ཅིག་གི་ཧེ་མ་ཙམ་ལྷོད་ཅི།
I just haven't gotten to it yet.,ང་གིས་འདི་ལུ་དེའི་རིང་མ་ཐོབ་པར་ཡོད།
I just know that it's not right.,ང་གིས་དེ་མི་བདེན་ཟེར་ཤེསཔ་ཙམ་ཨིན།
"I just need you to trust me, OK?",ཁྱོད་ཀྱིས་ང་ལུ་བློ་གཏད་ཙམ་དགོཔ་ཨིན་ བཏུབ་ག།
I just said a very stupid thing.,ང་གི་གནམ་མེད་ས་མེད་བླུན་པོའི་ཅིག་ཙམ་སླབ་ཅི།
I just want a little more space.,ང་ལུ་ས་སྒོ་ཨ་ཙི་མངམ་དགོཔ་ཙམ་ཡོད།
I just want things to be normal.,ང་ལུ་ལཱ་ཚུ་ཨ་རྟག་ཧ་ལུགས་སྦེ་འགྱོ་དགོ་མནོཝ་ཡོད།
I just want to be a good person.,ང་མི་ལེགས་ཤོམ་འབད་དགོ་མནོཝ་ཡོད།
I just want to do something fun.,ང་གིས་ག་ཅི་ཅིག་སྤྲོ་བ་ཅན་ཅིག་འབད་དགོ་མནོཝ་ཡོད།
I just want to get it over with.,ང་འདི་དང་གཅིག་ཁར་ལྷག་སྟེ་འགྱོ་དགོ་མནོཝ་ཡོད།
I just want to get my work done.,ང་གིས་ངེ་གི་ལཱ་ཚུ་འབད་ཚརཝ་འབད་ནི་ཙམ་ཨིན།
I just want to get off this bus.,ང་བཱས་འདི་ལས་ཕྱི་ཁར་འགྱོ་དགོ་མནོ་ཙམ་ཡོད།
I just want to go back to class.,ང་སློབ་ཁང་ནང་ལོག་འགྱོ་དགོ་མནོ་ཙམ་ཡོད།
I just want to have a good time.,ང་ལུ་དུས་ཚོད་ལེགས་ཤོམ་ཙམ་དགོ་ནི་གི་རེ་བ་ཡོད།
